sa1_code_2021,pairs,pairs_within_10_min,pairs_within_15_min,pct_within_10_min,pct_within_15_min
80108109509,1,0,0,0.0,0.0
80108109601,1,0,0,0.0,0.0
80108109602,1,0,0,0.0,0.0
80108109603,1,0,1,0.0,1.0
80108109604,3,0,1,0.0,0.3333333333333333
80108109605,1,1,1,1.0,1.0
80108109701,1,0,1,0.0,1.0
80108109702,1,0,0,0.0,0.0
80108109703,1,0,0,0.0,0.0
80108109706,2,0,0,0.0,0.0
80108109707,2,0,0,0.0,0.0
80108109708,1,0,0,0.0,0.0
80108109802,1,0,0,0.0,0.0
80108109807,1,0,0,0.0,0.0
80108109809,1,0,0,0.0,0.0
80108109812,1,0,0,0.0,0.0
80108109814,1,0,0,0.0,0.0
80109109901,2,0,0,0.0,0.0
80109109904,2,0,0,0.0,0.0
80109110002,1,0,0,0.0,0.0
80109110003,1,0,0,0.0,0.0
80109110004,2,0,0,0.0,0.0
80109110005,1,0,0,0.0,0.0
80109110006,1,0,0,0.0,0.0
80109110007,2,0,0,0.0,0.0
80109110008,2,0,0,0.0,0.0
80109110010,1,0,0,0.0,0.0
80109110011,1,0,0,0.0,0.0
80109110012,2,0,0,0.0,0.0
80109110101,1,0,0,0.0,0.0
80109110102,1,0,0,0.0,0.0
80109110104,2,0,0,0.0,0.0
80109110105,2,0,0,0.0,0.0
80109110107,1,0,0,0.0,0.0
80109110109,2,0,0,0.0,0.0
80109110110,1,0,0,0.0,0.0
80109110202,1,0,0,0.0,0.0
80109110203,1,0,0,0.0,0.0
80109110204,1,0,0,0.0,0.0
80109110205,1,0,0,0.0,0.0
80109110206,1,0,0,0.0,0.0
80109110207,1,0,0,0.0,0.0
80109110209,1,0,0,0.0,0.0
80109110211,1,0,0,0.0,0.0
80109110301,1,0,0,0.0,0.0
80109110302,1,0,0,0.0,0.0
80109110303,1,0,0,0.0,0.0
80109110304,2,0,0,0.0,0.0
80109110305,1,0,0,0.0,0.0
80109110306,1,0,0,0.0,0.0
80109110307,1,0,0,0.0,0.0
80109110401,1,0,0,0.0,0.0
80109110403,1,0,0,0.0,0.0
80109110405,1,0,0,0.0,0.0
80109110502,2,0,0,0.0,0.0
80109110504,1,0,0,0.0,0.0
80109110505,1,0,0,0.0,0.0
80109110506,3,0,0,0.0,0.0
80109110507,1,0,0,0.0,0.0
80109110601,1,0,0,0.0,0.0
80109110602,1,0,0,0.0,0.0
80109110603,1,0,0,0.0,0.0
80109110604,1,0,0,0.0,0.0
80109110606,1,0,0,0.0,0.0
80109110702,3,0,0,0.0,0.0
80109110804,1,0,0,0.0,0.0
80109110805,2,0,0,0.0,0.0
80109111001,1,0,0,0.0,0.0
80109111002,2,0,1,0.0,0.5
80109111004,1,0,1,0.0,1.0
80109111005,1,0,0,0.0,0.0
80109111006,1,0,0,0.0,0.0
80110113902,1,0,0,0.0,0.0
80110113906,1,0,0,0.0,0.0
